model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
svm;SMX;1;zero;0.625;0.604545;0.020455;0.625;0.625;0.0;0.026281;K ka
svm;SMX;2;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.069104;"K ka; Rb ka + Br kb"
svm;SMX;3;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.069746;"K ka; Rb ka + Br kb; K kb + Ca ka"
svm;SMX;4;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.074334;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl"
svm;SMX;5;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.068028;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton"
svm;SMX;6;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.066531;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn"
svm;SMX;7;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.068821;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka"
svm;SMX;8;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.066214;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2"
svm;SMX;9;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.066392;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh"
svm;SMX;10;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.065013;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe"
svm;SMX;11;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.069422;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton"
svm;SMX;12;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075111;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton; background3"
svm;SMX;13;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075064;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton; background3; Cu"
svm;SMX;14;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075041;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton; background3; Cu; Mn"
svm;SMX;15;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075967;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton; background3; Cu; Mn; Rh kb Rayleigh"
svm;SMX;16;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.07614;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton; background3; Cu; Mn; Rh kb Rayleigh; S"
svm;SMX;17;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.07573;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Compton; Zn; Br ka; background2; Rh ka Rayleigh; Fe; Rh kb Compton; background3; Cu; Mn; Rh kb Rayleigh; S; background1"
svm;SHAP;1;zero;0.625;0.604545;0.020455;0.625;0.625;0.0;0.026281;K ka
svm;SHAP;2;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.069104;"K ka; Rb ka + Br kb"
svm;SHAP;3;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.073637;"K ka; Rb ka + Br kb; Cl"
svm;SHAP;4;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.066719;"K ka; Rb ka + Br kb; Cl; Rh ka Compton"
svm;SHAP;5;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.065201;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn"
svm;SHAP;6;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.06565;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3"
svm;SHAP;7;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.067312;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka"
svm;SHAP;8;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.066421;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2"
svm;SHAP;9;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.069513;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton"
svm;SHAP;10;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.06896;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe"
svm;SHAP;11;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.074316;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh"
svm;SHAP;12;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.074368;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh; Mn"
svm;SHAP;13;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075074;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh; Mn; K kb + Ca ka"
svm;SHAP;14;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075996;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh; Mn; K kb + Ca ka; Rh kb Rayleigh"
svm;SHAP;15;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075539;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh; Mn; K kb + Ca ka; Rh kb Rayleigh; background1"
svm;SHAP;16;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075778;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh; Mn; K kb + Ca ka; Rh kb Rayleigh; background1; S"
svm;SHAP;17;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.07573;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; Zn; background3; Br ka; background2; Rh kb Compton; Fe; Rh ka Rayleigh; Mn; K kb + Ca ka; Rh kb Rayleigh; background1; S; Cu"
svm;Permutation;1;zero;0.625;0.604545;0.020455;0.625;0.625;0.0;0.026281;K ka
svm;Permutation;2;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.069104;"K ka; Rb ka + Br kb"
svm;Permutation;3;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.073637;"K ka; Rb ka + Br kb; Cl"
svm;Permutation;4;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.066719;"K ka; Rb ka + Br kb; Cl; Rh ka Compton"
svm;Permutation;5;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.068028;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka"
svm;Permutation;6;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.070291;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka"
svm;Permutation;7;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.068821;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn"
svm;Permutation;8;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.068368;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn; background3"
svm;Permutation;9;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.07107;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn; background3; Rh kb Compton"
svm;Permutation;10;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.074873;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn; background3; Rh kb Compton; Rh ka Rayleigh"
svm;Permutation;11;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.074075;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn; background3; Rh kb Compton; Rh ka Rayleigh; Fe"
svm;Permutation;12;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075111;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn; background3; Rh kb Compton; Rh ka Rayleigh; Fe; background2"
svm;Permutation;13;zero;0.625;0.480769;0.144231;0.625;0.625;0.0;0.075933;"K ka; Rb ka + Br kb; Cl; Rh ka Compton; K kb + Ca ka; Br ka; Zn; background3; Rh kb Compton; Rh ka Rayleigh; Fe; background2; Rh kb Rayleigh"
